codigo,nome,arquivo,tem_foto,origem
1003927,Sofa Tekshine Retratil e Reclinavel 2.00 Ermine 10,(placeholder),nao,-
1003928,Sofa Tekshine Retratil e Reclinavel 2.00 Marrom 9,(placeholder),nao,-
1003969,Sofa Tekshine Retratil e Reclinavel 2.00 Safari 1,(placeholder),nao,-
1003283,Sofa Tekshine Super Cine Veludinho Pop Ermine 10,(placeholder),nao,-
1003285,Sofa Tekshine Super Cine Veludinho Pop Pavemont 8,(placeholder),nao,-
1003925,"Sofa Tekshine Top 2 Lugares Cinza Paloma 12 1,40",(placeholder),nao,-
1003784,"Sofa Tekshine Top 2 Lugares Ermine 1,40",1003784.jpg,sim,s9.chianca.net
1002677,"Sofa Tekshine Top 2 Lugares Linho Bege 1,40",(placeholder),nao,-
1003783,"Sofa Tekshine Top 2 Lugares Marrom 1,40",1003783.jpg,sim,s9.chianca.net
1002035,"Sofa Tekshine Top 2 Lugares Pavemont 1,40",(placeholder),nao,-
40093,"Sofa Tekshine Top 2 Lugares Preto 1,40",(placeholder),nao,-
1003799,"Sofa Tekshine Top 2 Lugares Safari 1,40",(placeholder),nao,-
70019,"Sofa Tekshine Top 2 Lugares Vermelho 1,40",(placeholder),nao,-
1002139,"Sofa Tekshine Top 2 Lugares Vinho 1,40",(placeholder),nao,-
1003157,"Sofa Tekshine Top 3 Lugares Chinchila 1,70",(placeholder),nao,-
7005,"Sofa Tekshine Top 3 Lugares Cinza 1,70",(placeholder),nao,-
1002676,"Sofa Tekshine Top 3 Lugares Linho Bege 1,70",(placeholder),nao,-
70017,"Sofa Tekshine Top 3 Lugares Linho Preto 1,70",(placeholder),nao,-
1002138,"Sofa Tekshine Top 3 Lugares Marrom 1,60",1002138.jpg,sim,s9.chianca.net
1002034,"Sofa Tekshine Top 3 Lugares Pavemont 1,60",(placeholder),nao,-
1003782,"Sofa Tekshine Top 3 Lugares Safari 1,70",1003782.jpg,sim,s9.chianca.net
1003222,"Sofa Tekshine Veludo 2,10 Pavemont",(placeholder),nao,-
7890006820183,Sofa Tekshine Villagem 2 Lugares com Almofada S Paloma,(placeholder),nao,-
